"cell_line","gene","expression","subtype"
"HCC1569","CYP2T2P",3.618401125,"HER2."
"HCC1569","FAM176A",5.902661013,"HER2."
"HCC1569","GRHL2",9.548426086,"HER2."
"HCC1569","HS3ST1",0,"HER2."
"HCC1569","PLB1",1.384948388,"HER2."
"HCC1569","SULT2B1",2.078354432,"HER2."
"HCC1569","UnknownGene",0,"HER2."
"HCC1806","BNIPL",3.579397242,"TNBC"
"HCC1806","CACNG4",0,"TNBC"
"HCC1806","CPE",2.382113716,"TNBC"
"HCC1806","CYP2T2P",3.769665801,"TNBC"
"HCC1806","FAM176A",6.263672782,"TNBC"
"HCC1806","GRHL2",10.61415143,"TNBC"
"HCC1806","HS3ST1",8.773029545,"TNBC"
"HCC1806","PLB1",4.761317019,"TNBC"
"HCC1806","SULT2B1",6.340686703,"TNBC"
"HCC1806","UnknownGene",2.786219805,"TNBC"
"HCC1937","BNIPL",3.27041119,"TNBC"
"HCC1937","CACNG4",5.979958349,"TNBC"
"HCC1937","CPE",4.312593216,"TNBC"
"HCC1937","CYP2T2P",3.677438394,"TNBC"
"HCC1937","FAM176A",7.475050081,"TNBC"
"HCC1937","GRHL2",10.49019088,"TNBC"
"HCC1937","HS3ST1",6.286449079,"TNBC"
"HCC1937","PLB1",4.573039328,"TNBC"
"HCC1937","SULT2B1",7.500331032,"TNBC"
"HCC1937","UnknownGene",0.836967962,"TNBC"
"HCC1954","BNIPL",2.531950915,"HER2."
"HCC1954","CACNG4",8.656832326,"HER2."
"HCC1954","CPE",8.774444328,"HER2."
"HCC1954","CYP2T2P",4.331571201,"HER2."
"HCC1954","FAM176A",5.656205595,"HER2."
"HCC1954","GRHL2",11.03957505,"HER2."
"HCC1954","HS3ST1",6.13670859,"HER2."
"HCC1954","PLB1",3.695863676,"HER2."
"HCC1954","SULT2B1",7.54504561,"HER2."
"HCC1954","UnknownGene",0,"HER2."
"HCC38","BNIPL",5.771798334,"TNBC"
"HCC38","CACNG4",7.016569828,"TNBC"
"HCC38","CPE",4.05242135,"TNBC"
"HCC38","CYP2T2P",2.245524583,"TNBC"
"HCC38","FAM176A",6.108135369,"TNBC"
"HCC38","GRHL2",10.16719631,"TNBC"
"HCC38","HS3ST1",3.611914218,"TNBC"
"HCC38","PLB1",2.855356904,"TNBC"
"HCC38","SULT2B1",6.750200611,"TNBC"
"HCC38","UnknownGene",2.042088354,"TNBC"
"HCC70","BNIPL",6.393627691,"TNBC"
"HCC70","CACNG4",8.101316008,"TNBC"
"HCC70","CPE",10.02435301,"TNBC"
"HCC70","CYP2T2P",4.181319938,"TNBC"
"HCC70","FAM176A",7.601291077,"TNBC"
"HCC70","GRHL2",10.75692161,"TNBC"
"HCC70","HS3ST1",7.0028356,"TNBC"
"HCC70","PLB1",2.649543553,"TNBC"
"HCC70","SULT2B1",6.187205842,"TNBC"
"HCC70","UnknownGene",0,"TNBC"
"HS578T","BNIPL",1.663481826,"TNBC"
"HS578T","CACNG4",0,"TNBC"
"HS578T","CPE",9.533218419,"TNBC"
"HS578T","CYP2T2P",2.205705948,"TNBC"
"HS578T","FAM176A",8.812930906,"TNBC"
"HS578T","GRHL2",1.289952967,"TNBC"
"HS578T","HS3ST1",2.205705948,"TNBC"
"HS578T","PLB1",3.731640217,"TNBC"
"HS578T","SULT2B1",1.663481826,"TNBC"
"HS578T","UnknownGene",0,"TNBC"
"MCF7","BNIPL",7.793951087,"ER."
"MCF7","CACNG4",10.86400531,"ER."
"MCF7","CPE",9.647835333,"ER."
"MCF7","CYP2T2P",5.631859022,"ER."
"MCF7","FAM176A",0.938636388,"ER."
"MCF7","GRHL2",11.44491954,"ER."
"MCF7","HS3ST1",0,"ER."
"MCF7","PLB1",1.502550308,"ER."
"MCF7","SULT2B1",9.4949327,"ER."
"MCF7","UnknownGene",0,"ER."
"MFM223","BNIPL",5.739129826,"TNBC"
"MFM223","CACNG4",7.258970512,"TNBC"
"MFM223","CPE",11.46121766,"TNBC"
"MFM223","CYP2T2P",2.790280349,"TNBC"
"MFM223","FAM176A",2.385952005,"TNBC"
"MFM223","GRHL2",9.675312426,"TNBC"
"MFM223","HS3ST1",3.860569434,"TNBC"
"MFM223","PLB1",6.528270652,"TNBC"
"MFM223","SULT2B1",4.29265686,"TNBC"
"MFM223","UnknownGene",1.428010956,"TNBC"
"MM157","BNIPL",3.589835066,"TNBC"
"MM157","CACNG4",9.038727589,"TNBC"
"MM157","CPE",9.442018598,"TNBC"
"MM157","CYP2T2P",4.648958688,"TNBC"
"MM157","FAM176A",8.60149076,"TNBC"
"MM157","GRHL2",1.588507816,"TNBC"
"MM157","HS3ST1",0,"TNBC"
"MM157","PLB1",4.464505176,"TNBC"
"MM157","SULT2B1",3.589835066,"TNBC"
"MM157","UnknownGene",1.002659803,"TNBC"
"MM231","BNIPL",2.218224203,"TNBC"
"MM231","CACNG4",1.903000633,"TNBC"
"MM231","CPE",6.903630095,"TNBC"
"MM231","CYP2T2P",2.695950368,"TNBC"
"MM231","FAM176A",7.590910134,"TNBC"
"MM231","GRHL2",0.936063713,"TNBC"
"MM231","HS3ST1",8.019391291,"TNBC"
"MM231","PLB1",7.823910459,"TNBC"
"MM231","SULT2B1",1.903000633,"TNBC"
"MM231","UnknownGene",0.936063713,"TNBC"
"MM361","BNIPL",6.134990727,"ER."
"MM361","CACNG4",11.88698182,"ER."
"MM361","CPE",10.41221096,"ER."
"MM361","CYP2T2P",9.233147597,"ER."
"MM361","FAM176A",4.566471157,"ER."
"MM361","GRHL2",11.26814606,"ER."
"MM361","HS3ST1",3.554583337,"ER."
"MM361","PLB1",3.821591244,"ER."
"MM361","SULT2B1",9.120015808,"ER."
"MM361","UnknownGene",0,"ER."
"MM436","BNIPL",2.356894694,"TNBC"
"MM436","CACNG4",5.78873171,"TNBC"
"MM436","CPE",3.584213873,"TNBC"
"MM436","CYP2T2P",1.61415987,"TNBC"
"MM436","FAM176A",8.971267231,"TNBC"
"MM436","GRHL2",1.906291725,"TNBC"
"MM436","HS3ST1",2.538482648,"TNBC"
"MM436","PLB1",3.88188173,"TNBC"
"MM436","SULT2B1",0.754554827,"TNBC"
"MM436","UnknownGene",1.247454741,"TNBC"
"MM453","BNIPL",4.892969135,"TNBC"
"MM453","CACNG4",7.742182285,"TNBC"
"MM453","CPE",3.003326142,"TNBC"
"MM453","CYP2T2P",2.271501519,"TNBC"
"MM453","FAM176A",0.711972615,"TNBC"
"MM453","GRHL2",10.67453506,"TNBC"
